time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2019/09/05/07:27:24.065586,6881,1567636044,65078045,gx5_link,-0.134591028094,0.106819681823,0.778302788734,0.603920221329,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000906650209799,-0.00399910844862,0.00110162771307,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.140859123571,-3.30937729418,-9.22669521511,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.077600,6882,1567636044,77129522,gx5_link,-0.134587809443,0.106820166111,0.778303980827,0.603919327259,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000713239307515,-0.00242564850487,0.00116464146413,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142578460788,-3.30772896409,-9.22623386979,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.095543,6883,1567636044,95124779,gx5_link,-0.134590700269,0.106814064085,0.778309106827,0.603913068771,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.00080970081035,-0.00446513667703,0.000613742740825,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.1406019009,-3.30565466434,-9.226296435,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.107621,6884,1567636044,107115450,gx5_link,-0.134586125612,0.106819629669,0.778305590153,0.603917717934,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000218800152652,-0.00265193567611,0.00146763189696,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141347749801,-3.30366690338,-9.22453349948,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.125575,6885,1567636044,125097396,gx5_link,-0.134582087398,0.106821157038,0.778306782246,0.603916704655,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.00026222053566,-0.00341378082521,0.00149240600877,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143013183,-3.30797483951,-9.22712206185,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.137510,6886,1567636044,137080544,gx5_link,-0.134585425258,0.106820777059,0.778304934502,0.603918492794,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000919045589399,-0.00365347252227,0.00115312135313,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143523124158,-3.30807161093,-9.22654435694,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.155575,6887,1567636044,155096773,gx5_link,-0.134582236409,0.106821417809,0.778304696083,0.603919386864,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",5.82146458328e-05,-0.00286360247992,0.00161112949718,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.143757670596,-3.3070080024,-9.22509892523,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.168734,6888,1567636044,168241254,gx5_link,-0.134579569101,0.106814019382,0.778306007385,0.603919565678,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",7.69949110691e-05,-0.00420582201332,0.00181491533294,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.141110425936,-3.30417619586,-9.22558365941,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.185636,6889,1567636044,185085901,gx5_link,-0.134573802352,0.106816455722,0.778305590153,0.603920996189,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",-0.000225418902119,-0.00320693710819,0.00176715047564,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.142710041413,-3.30408527166,-9.22445514679,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
2019/09/05/07:27:24.197504,6890,1567636044,197031940,gx5_link,-0.134576976299,0.106816582382,0.778299093246,0.603928625584,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.000661150959786,-0.00345460698009,0.00213724095374,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)",0.144832982691,-3.30568097681,-9.22505682528,"(0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01)"
