time,.layout.dim,.layout.data_offset,.data
2019/09/05/07:27:23.972041,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:23.984765,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:23.997199,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.010330,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.023947,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.036693,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.050564,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.063443,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.076315,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.089490,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.102224,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.115262,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.128303,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.141315,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.154227,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.167760,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.180736,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.193415,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.206798,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.219463,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.232423,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.245482,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.258392,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.271388,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.284430,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.297567,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.311593,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.325424,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.338228,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.351269,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.364194,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.378709,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.392556,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.405405,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.418301,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.432338,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.445181,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.458140,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.471377,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.484269,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.497258,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.510085,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.523344,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.536139,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.549189,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.562246,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.575432,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.589257,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.603339,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.617377,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.632306,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.644187,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.658181,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.671317,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.684392,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.698133,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.711231,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.725214,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.738290,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.751321,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.764092,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.777231,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.790202,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.804211,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.818359,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.831311,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.846822,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.859744,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.873414,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.886171,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.900397,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.914353,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.928374,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.941821,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.955148,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.968329,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.982209,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:24.995312,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.009203,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.022061,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.035172,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.048066,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.061135,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.074137,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.087456,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.100717,[],0,"(1310, 1283, 1257, 1284)"
2019/09/05/07:27:25.113128,[],0,"(1310, 1283, 1257, 1284)"
